well_plate,nitrate_concentration,population,cells_per_ml,file_name,path,well,plate,date_time,cell_size,plate_key,acclimation_level,n,nitrate_level,multitron,slot,start_time,days
E02_17,80,26,244041.67943876673,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate17_test_190604_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,17,2019-06-04T16:52:36Z,72.4,2,HP,P,6,4,4,2019-06-04T16:52:36Z,0
F02_17,80,28,151099.922389111,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate17_test_190604_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,17,2019-06-04T16:52:36Z,57,2,HP,P,6,4,4,2019-06-04T16:52:36Z,0
G02_17,80,27,162508.94047005675,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate17_test_190604_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,17,2019-06-04T16:52:36Z,48.1,2,HP,P,6,4,4,2019-06-04T16:52:36Z,0
B02_18,80,15,301643.3073108588,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate18_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,18,2019-06-06T10:46:49Z,61.7,3,HP,P,6,6,4,2019-06-04T16:52:36Z,1.7459837962962963
C02_18,80,10,345888.0359662338,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate18_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,18,2019-06-06T10:46:49Z,61.9,3,HP,P,6,6,4,2019-06-04T16:52:36Z,1.7459837962962963
D02_18,80,29,171413.5399478681,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate18_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,18,2019-06-06T10:46:49Z,64.3,3,HP,P,6,6,4,2019-06-04T16:52:36Z,1.7459837962962963
E02_18,80,anc4,346722.84216727864,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate18_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,18,2019-06-06T10:46:49Z,61.1,3,HP,P,6,6,4,2019-06-04T16:52:36Z,1.7459837962962963
F02_18,80,15,325574.41840747674,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate18_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,18,2019-06-06T10:46:49Z,62.7,3,HP,P,6,6,4,2019-06-04T16:52:36Z,1.7459837962962963
B02_19,100,25,239032.84223249787,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate19_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,19,2019-06-05T14:51:50Z,64,1,HP,P,7,4,8,2019-06-05T13:09:48Z,0.07085648148148148
C02_19,100,6,239589.37969986108,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate19_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,19,2019-06-05T14:51:50Z,62,1,HP,P,7,4,8,2019-06-05T13:09:48Z,0.07085648148148148
D02_19,100,24,168352.58387737043,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate19_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,19,2019-06-05T14:51:50Z,62.4,1,HP,P,7,4,8,2019-06-05T13:09:48Z,0.07085648148148148
E02_19,100,1,304425.9946476748,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate19_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,19,2019-06-05T14:51:50Z,60.6,1,HP,P,7,4,8,2019-06-05T13:09:48Z,0.07085648148148148
F02_19,100,25,256285.50372075732,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate19_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,19,2019-06-05T14:51:50Z,60.4,1,HP,P,7,4,8,2019-06-05T13:09:48Z,0.07085648148148148
G02_19,100,anc5,285781.98949100735,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate19_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,19,2019-06-05T14:51:50Z,55.6,1,HP,P,7,4,8,2019-06-05T13:09:48Z,0.07085648148148148
B02_2,5,28,13078.63048303539,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate2_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,2,2019-06-05T09:33:11Z,68.9,2,LP,P,1,5,16,2019-06-05T09:33:11Z,0
