nitrate_concentration,population,well_plate,term,estimate,std.error,statistic,p.value,ancestor_id,treatment,note
40,35,D07_11,r,1.059563211130956,0.04183156131863537,25.329277170893825,1.4426489955389257e-5,anc4,BS,NA
40,35,D08_11,r,1.1496165485937513,0.015390593076919978,74.69605250740713,1.9250495271350022e-07,anc4,BS,NA
40,35,F07_11,r,0.9015392338679207,0.05097738996165695,17.685080278649426,6.005126798994546e-5,anc4,BS,NA
40,4,B03_11,r,0.7161140952694547,0.04649482874515859,15.402015978906517,1.0368919575934389e-4,anc3,S,NA
40,4,D04_11,r,0.7878554749181815,0.042002246837156004,18.757460237132584,4.75631543168457e-5,anc3,S,NA
40,4,D10_11,r,0.5748369003887037,0.04517971840745614,12.723339601289696,2.1982146174931525e-4,anc3,S,NA
40,4,F03_11,r,0.6620582550809571,0.07647095214260953,8.657643674245021,9.792188190631303e-4,anc3,S,NA
40,5,B09_12,r,0.414661294147255,0.05625355538052093,7.371290424975358,0.00180503570489067,anc5,C,NA
40,5,C04_12,r,0.24084383871881973,0.08106117305714103,2.971136854250134,0.04109796681294567,anc5,C,NA
40,5,D06_12,r,0.03145530092104034,0.11922417334465328,0.2638332482298648,0.8049431071561188,anc5,C,NA
40,5,E10_12,r,0.6627398430830951,0.03887968432811737,17.045916255132987,6.946572365642841e-5,anc5,C,NA
40,6,C02_10,r,0.829908858759167,0.05270575777055302,15.746075834296064,9.503285267085776e-5,cc1690,P,NA
40,6,C09_10,r,1.206868963949838,0.061035385698920454,19.7732667718881,3.858943484021933e-5,cc1690,P,NA
40,6,E09_10,r,1.011273510767378,0.04491619833797036,22.514672839363786,2.3046157250534265e-5,cc1690,P,NA
40,6,F04_10,r,0.8238508751432132,0.08546587393989252,9.639530226094934,6.477301363802548e-4,cc1690,P,NA
40,7,B08_12,r,0.436016025925936,0.08414218949731872,5.1818954145450435,0.006597709422898764,anc3,B,NA
40,7,C07_12,r,0.31741511361423713,0.07524824802929986,4.218239253764995,0.013496632540040564,anc3,B,NA
40,7,D10_12,r,0.5975364536864414,0.03551003335375783,16.827256897611655,7.310405331207071e-5,anc3,B,NA
40,7,F03_12,r,0.7349774114024563,0.05361550240084018,13.708300370061231,1.6404557515939562e-4,anc3,B,NA
40,8,B05_10,r,0.7356390577523972,0.05996876081411048,12.267037833793347,2.536255125291922e-4,anc4,P,NA
40,8,D03_10,r,0.8120664094799037,0.057233209292683586,14.188727480353165,1.4326201707258866e-4,anc4,P,NA
40,8,E10_10,r,0.7655727522389786,0.036063052393849854,21.228728613375456,2.9111051418676103e-5,anc4,P,NA
40,8,F06_10,r,0.6166420122319307,0.07334353010261134,8.407585663919054,0.001095413473529328,anc4,P,NA
40,9,C03_11,r,0.9632916174621672,0.06503166707199307,14.812654524076075,1.2093111119976259e-4,cc1690,BS,NA
40,9,D05_11,r,1.1239342241218155,0.02779013143814334,40.44364549421165,2.2334799756874945e-6,cc1690,BS,NA
40,9,E08_11,r,0.8811499738455593,0.021594613918689002,40.80415501584728,2.155741861415197e-6,cc1690,BS,NA
40,9,G03_11,r,1.0644831070744587,0.033925990739546864,31.376625527213022,6.1488106643254055e-6,cc1690,BS,NA
40,anc2,B06_11,r,1.3782813656736828,0.0681782563985105,20.215849428848028,3.5345309599184656e-5,anc2,none,NA
40,anc2,C10_11,r,1.325615659648141,0.04694384522042652,28.238327163521966,9.357787524611845e-6,anc2,none,NA
40,anc2,E05_11,r,1.403322466984346,0.014024937959289729,100.05908554161013,5.981856632242925e-8,anc2,none,NA
40,anc2,F10_11,r,1.2136644490810937,0.049599250079283085,24.469411274184253,1.6551487435981587e-5,anc2,none,NA
40,anc3,B07_12,r,1.043484573260522,0.039917462636795104,26.141054674619003,1.272429649611791e-5,anc3,none,NA
40,anc3,C06_12,r,0.8136875066408811,0.048697568834554054,16.708996488209028,7.517094130240873e-5,anc3,none,NA
40,anc3,D07_12,r,0.9106650146030493,0.04738170638410152,19.21975977860971,4.318788712202975e-5,anc3,none,NA
40,anc3,F05_12,r,0.5825279555620672,0.06113706874048415,9.528228414659418,6.774325344093341e-4,anc3,none,NA
40,anc4,B11_12,r,0.9410750091643327,0.03823134269897167,24.61527486947628,1.616475508908253e-5,anc4,none,NA
40,anc4,D04_12,r,0.7583958061315564,0.07542825003742466,10.054532695048193,5.50292091727446e-4,anc4,none,NA
40,anc4,E02_12,r,0.7010098916771358,0.04783487983262056,14.654785255655403,1.261452527668032e-4,anc4,none,NA
