file_name,path,well_plate,well,plate,date_time,cell_size,plate_key,population,acclimation_level,percentage,expt_light_level,multitron,slot,read_at_19_12_18_0900,read_at_19_12_18_1500,start_time,days,light_level,light,cell_count,cells_per_ml
imaging/light-gen5-outputs/Rstar_BF_light_plate30_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_30,C09,30,2019-06-13T09:17:37Z,38,3,30,HL,1,L10,6,4,1,NA,2019-06-13T09:17:37Z,0,10,250,597,166126.43400791762
imaging/light-gen5-outputs/Rstar_BF_light_plate30_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,D09_30,D09,30,2019-06-13T09:17:37Z,40.7,3,3,HL,1,L10,6,4,1,NA,2019-06-13T09:17:37Z,0,10,250,690,192005.42624030678
imaging/light-gen5-outputs/Rstar_BF_light_plate30_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_30,E09,30,2019-06-13T09:17:37Z,39.3,3,20,HL,1,L10,6,4,1,NA,2019-06-13T09:17:37Z,0,10,250,920,256007.2349870757
imaging/light-gen5-outputs/Rstar_BF_light_plate30_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,F09_30,F09,30,2019-06-13T09:17:37Z,37.6,3,3,HL,1,L10,6,4,1,NA,2019-06-13T09:17:37Z,0,10,250,769,213988.6562011535
imaging/light-gen5-outputs/Rstar_BF_light_plate7_test_190611_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_7,C09,7,2019-06-11T15:58:02Z,44.5,1,6,LL,0.02,L3,5,8,1,1,2019-06-11T15:58:02Z,0,3,5,48,13356.899216716993
imaging/light-gen5-outputs/Rstar_BF_light_plate7_test_190611_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_7,E09,7,2019-06-11T15:58:02Z,54.1,1,6,LL,0.02,L3,5,8,1,1,2019-06-11T15:58:02Z,0,3,5,6,1669.612402089624
imaging/light-gen5-outputs/Rstar_BF_light_plate1_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E10_1,E10,1,2019-06-12T13:49:59Z,38.4,1,8,LL,0.001,L1,5,15,1,1,2019-06-12T13:49:59Z,0,1,0.25,19,5287.105939950477
imaging/light-gen5-outputs/Rstar_BF_light_plate10_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,E10_10,E10,10,2019-06-13T12:41:46Z,60.8,1,8,LL,0.05,L4,5,18,1,NA,2019-06-12T09:56:50Z,1.114537037037037,4,12.5,108,30053.023237613237
imaging/light-gen5-outputs/Rstar_BF_light_plate11_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,D10_11,D10,11,2019-06-12T09:56:50Z,36.5,2,4,LL,0.05,L4,4,9,1,1,2019-06-12T09:56:50Z,0,4,12.5,109,30331.29197129484
imaging/light-gen5-outputs/Rstar_BF_light_plate12_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,C10_12,C10,12,2019-06-12T16:07:13Z,55.6,3,3,LL,0.05,L4,4,1,1,1,2019-06-12T09:56:50Z,0.25721064814814815,4,12.5,15,4174.03100522406
